Cities;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
1;0;656.1950929;1556.303312;1352.78084;1660.867243;991.1044345;418.243948;1874.037353;1396.824971;1233.096914;1276;1044;844.4927472;883.4296803;836.4878959;259.3838854;1476.438959;2132.634052;1611.523503;1148.341413;1560.620389;1415.960451;1401.633333;1249.358235;3321.734487;2284.93501;1774.458791;3764.195532;3792.685592;1453.475834;1628.137586;4114.322301;3528.002268;1888.343189;1165.785572;1037.535542;883.4296803;2320;2132.634052;1724.463975;1069.467157;2320;1648.669767;2167.058836;2498.716471;4153.383199;3268.64865;3535.622152;3603.4761;1050.424676;1069.467157;2091.21974;3411.662351;2065.321283;3266.589659;1982.208869;1640.487732;2624.780372;3235.547558;2678.06796;2698.091177;2864.988656;9304.617348;2708.047267;5833.543006;3395.849231;2678.06796;3603.4761;5020.267722;4537.364874;4158.240012;1870.443798;2805.665696;2737.698303;4547.732622;3506.962218;2391.401263;3381.952099;2311.283626;2479.796766;4915.991863;6808.518194;6827.267682;4697.641962;7345.649052;7488.96575;7446.621784;7631.35427;6089.723803;2348.820981;2705.561679;6406.30939;4778.580542;4518.047366;4277.868628;6704.960552;5926.226455;12003.61812;7540;2138.934314;11020.61051;10722.94363;2645.206986;7007.206576;591.4862636;883.4296803;9752.97206;1094.341811;6433.557025;5851.967191;6564.001219;6149.094242;3899.394825;812;1100.472626;2422.15111;4111.050474;3642.473885;8622.319873;820.2438662;1556.303312;3640.62632;4721.926725;2345.954816;5096.084772;5911.44923;6612
2;656.1950929;0;1870.443798;1995.739462;1165.785572;1611.523503;844.4927472;2490.625624;1944.514335;1357.74519;1800.804265;1577.770579;778.1516562;1281.261878;1485.524823;624.6791176;2132.634052;2788.829145;2252.312589;1804.536506;2216.176888;2065.321283;2029.171259;1870.443798;3601.60853;2593.838854;2207.05052;3945.705514;4079.837252;1755.39853;2116.801361;4417.148401;3778.467414;1972;905.9889624;1037.535542;883.4296803;2498.716471;2231.304551;1560.620389;1296.919427;2320;1712.719475;1628.137586;1913.12101;3506.962218;2650.289041;2881.380225;2964.248303;676.3904198;418.243948;1660.867243;2767.031623;1415.960451;2786.415619;1411.200907;984.2926394;2705.561679;3612.799469;3036.01054;2982.350751;3185.251011;9953.043354;2767.031623;5559.535232;3044.861902;3274.817858;4247.881354;5674.522711;5179.890346;4772.945422;2509.463688;3443.070722;3387.914993;5199.336881;4153.383199;3044.861902;3994.848683;2909.265199;3044.861902;5514.577046;7377.636478;7373.075342;5300.578082;7923.74255;8070.132589;8037.552861;8228.644603;6072.02108;2690.599933;2934.593669;6406.30939;4292;3862.991587;3964.417738;7341.068042;5908.033852;11976.68402;7475.477777;2188.683623;11489.27152;11237.64032;2100.849352;7315.361372;1194.293096;1512.454958;9131.639064;1740;7056.004535;6422.043289;5908.033852;5502.363129;3787.36003;1357.74519;997.869731;2793.649942;4697.641962;2993.609193;9277.824745;1050.424676;956.5605051;3856.018672;4571.342035;1859.621467;5179.890346;6492.892114;6165.484571
3;1556.303312;1870.443798;0;1411.200907;1972;1142.467505;1142.467505;1434.840758;812;624.6791176;705.6004535;2228.287235;1165.785572;2302.534256;1352.78084;1815.687198;1774.458791;2207.05052;1508;1615.69304;1755.39853;1525.741787;1281.261878;1182.972527;4640;3623.95585;2993.609193;5173.391924;5084.188824;2872.02507;2767.031623;5373.692957;4873.380757;3411.662351;2678.06796;2593.838854;2438.760341;3776.686378;3642.473885;3274.817858;2575.617984;3861.249539;3185.251011;3481.932797;3719.242934;4666.027004;3642.473885;4203.299656;4086.428269;1547.633031;2091.21974;2052.249498;3959.323174;3071.262932;3088.738254;2388.586193;2593.838854;1249.358235;1743.86238;1165.785572;1142.467505;1322.603493;9182.336086;1357.74519;4884.412759;2824.784594;1902.541458;3123.395588;4635.647959;3967.810479;3364;1640.487732;2334.454969;2457.995932;4512.086879;3642.473885;2554.635003;3829.757172;2982.350751;3266.589659;5341.041097;7311.681612;7427.624115;5109.270007;6279.019032;6433.557025;6434.602707;6647.518635;4697.641962;820.2438662;1160;4989.348655;6152.375801;5291.685554;5800;5992.834388;7447.525227;13515.86682;6187.270804;928;11812.65085;11373.32528;3944;5466.788454;1148.341413;1194.293096;10753.01855;1357.74519;5616.125355;4772.945422;7175.141532;6580.380536;2730.315733;905.9889624;1100.472626;928;4645.79638;4217.680879;8190.125762;820.2438662;2200.945251;5020.267722;6277.947435;2380.121005;3612.799469;6384.216788;8034.203881
4;1352.78084;1995.739462;1411.200907;0;2767.031623;418.243948;1233.096914;580;624.6791176;1660.867243;705.6004535;1211.075555;1770.663153;1512.454958;518.7677708;1508;366.8242086;883.4296803;259.3838854;366.8242086;348;116;164.0487732;232;3448.927949;2509.463688;1834.121043;4060;3856.018672;1944.514335;1577.770579;4114.322301;3699.290743;2617.079288;2391.401263;2100.849352;2002.470474;2803.266666;2788.829145;2786.415619;1859.621467;3095.266063;2460.731599;3489.653278;3840.283323;5423.542754;4477.660103;4840.133882;4856.785768;2157.724728;2391.401263;3062.487878;4681.861168;3411.662351;4222.463736;3155.541158;2971.049646;2645.206986;2482.508409;2052.249498;2252.312589;2302.534256;8078.465201;2757.288523;6290.794544;4119.22517;1396.824971;2252.312589;3692.008667;3185.251011;2824.784594;518.7677708;1453.475834;1396.824971;3323.759317;2348.820981;1211.075555;2438.760341;1577.770579;1874.037353;3971.200322;5934.168181;6032;3740.887595;6052.043622;6190.532126;6134.853869;6311.082316;6018.600502;1834.121043;2388.586193;6287.585228;6028.652918;5851.967191;5341.041097;5352.366206;6489.782739;12487.11848;7522.132676;2331.571144;10402.55507;9976.674396;3964.417738;6230.614737;820.2438662;492.1463197;11102.72111;259.3838854;5088.15723;4577.22536;7876.049771;7411.30164;4140.403845;778.1516562;1920.141661;1811.977925;3248;4924.196584;7300.631206;1401.633333;2793.649942;3876.899792;5544.994139;3371.99051;4858.170849;5009.534909;7803.101947
5;1660.867243;1165.785572;1972;2767.031623;0;2348.820981;1556.303312;3121.240779;2460.731599;1352.78084;2296.682825;2690.599933;997.869731;2436;2334.454969;1743.86238;3009.300251;3640.62632;2993.609193;2698.091177;3064.683997;2864.988656;2737.698303;2575.617984;4756;3757.03926;3364;5064.300149;5234.158576;2920.805368;3256.275173;5574.038392;4924.196584;3082.196619;1920.141661;2167.058836;2025.852907;3633.226665;3339.913771;2546.721814;2460.731599;3371.99051;2824.784594;2029.171259;2091.21974;2717.966887;1724.463975;2231.304551;2138.934314;624.6791176;883.4296803;518.7677708;1995.739462;1322.603493;1624;418.243948;935.2218988;2216.176888;3573.477858;3011.535157;2822.401814;3071.262932;10845.22457;2231.304551;4462.609102;1920.141661;3787.36003;4924.196584;6416.802942;5824.309058;5290.413972;3225.133796;4104.498995;4130.642565;6087.513778;5084.188824;3944;5025.625533;3967.810479;4140.403845;6567.075453;8468.794483;8487.047072;6346.164826;8249.060068;8404.197999;8406.599312;8619.198107;5245.714441;2678.06796;2678.06796;5598.12683;4558.076787;3321.734487;4600.683427;7916.946886;6867.552694;12890.62233;6570.148248;1740;12646.12826;12374.54161;2391.401263;6994.713432;1972;2287.877619;8803.781006;2546.721814;7564.943357;6743.98102;5220;4676.109494;2900;1995.739462;905.9889624;2824.784594;5768.594976;2252.312589;10019.06982;1396.824971;418.243948;4989.348655;5413.609517;696;4524;7569.388879;6471.095116
6;991.1044345;1611.523503;1142.467505;418.243948;2348.820981;0;820.2438662;883.4296803;518.7677708;1281.261878;492.1463197;1160;1352.78084;1357.74519;259.3838854;1182.972527;705.6004535;1296.919427;656.1950929;478.2802526;733.6484172;518.7677708;418.243948;259.3838854;3535.622152;2544.078615;1888.343189;4104.498995;3967.810479;1870.443798;1648.669767;4247.881354;3776.686378;2498.716471;2100.849352;1859.621467;1740;2767.031623;2698.091177;2562.523756;1688.985494;2973.313303;2311.283626;3155.541158;3489.653278;5009.534909;4060;4432.353776;4441.452015;1740;1995.739462;2650.289041;4268.421722;3024.909916;3815.677135;2737.698303;2575.617984;2391.401263;2490.625624;1995.739462;2132.634052;2228.287235;8496.554596;2498.716471;5971.465482;3740.887595;1688.985494;2645.206986;4101.219331;3573.477858;3168.308066;905.9889624;1834.121043;1804.536506;3740.887595;2757.288523;1615.69304;2805.665696;1870.443798;2138.934314;4348.066237;6302.548056;6384.216788;4119.22517;6358.874114;6501.176509;6456.522903;6640.430107;5828.92786;1724.463975;2228.287235;6112.880827;5741.707063;5453.233903;5136.84884;5729.977312;6467.975263;12504.88609;7323.634071;2025.852907;10722.94363;10324.65166;3633.226665;6279.019032;418.243948;116;10738.61816;232;5447.061593;4869.237312;7468.274232;6995.675235;3856.018672;366.8242086;1508;1740;3603.4761;4512.086879;7710.292342;991.1044345;2380.121005;3937.170558;5430.980759;2957.431318;4710.514197;5381.199866;7548.026497
7;418.243948;844.4927472;1142.467505;1233.096914;1556.303312;820.2438662;0;1672.975792;1100.472626;836.4878959;956.5605051;1322.603493;591.4862636;1254.731844;778.1516562;676.3904198;1453.475834;2091.21974;1476.438959;1142.467505;1512.454958;1322.603493;1233.096914;1069.467157;3684.7122;2647.749233;2091.21974;4153.383199;4150.142166;1834.121043;1913.12101;4464.116486;3899.394825;2302.534256;1547.633031;1453.475834;1296.919427;2717.966887;2544.078615;2132.634052;1476.438959;2737.698303;2065.321283;2460.731599;2757.288523;4190.474913;3250.070768;3612.799469;3623.95585;935.2218988;1194.293096;1913.12101;3448.927949;2231.304551;3095.266063;1930.624769;1770.663153;2216.176888;2843.774956;2279.038394;2284.93501;2457.995932;9298.107334;2302.534256;5514.577046;3134.147412;2438.760341;3460.612663;4921.463197;4385.045496;3944;1724.463975;2645.206986;2624.780372;4537.364874;3528.002268;2388.586193;3489.653278;2460.731599;2670.520549;5036.324056;6961.933065;7007.206576;4812.252695;7079.802257;7226.530011;7195.740963;7388.571716;5688.732724;1944.514335;2287.877619;6001.809061;5109.270007;4640;4670.350736;6531.119353;6341.922737;12418.50297;7146.955716;1740;11261.56295;10926.19019;2936.885425;6602.835754;418.243948;742.7624115;9965.20346;997.869731;6230.614737;5577.65829;6648.530665;6178.565529;3528.002268;518.7677708;812;2025.852907;4254.21203;3692.008667;8530.536208;418.243948;1560.620389;4021.705111;5138.158425;2200.945251;4681.861168;6052.043622;6963.865593
8;1874.037353;2490.625624;1434.840758;580;3121.240779;883.4296803;1672.975792;0;676.3904198;1870.443798;836.4878959;1774.458791;2132.634052;2091.21974;1069.467157;2055.525237;778.1516562;844.4927472;366.8242086;935.2218988;676.3904198;591.4862636;478.2802526;624.6791176;3897.669047;3009.300251;2334.454969;4537.364874;4277.868628;2504.095845;2075.071083;4512.086879;4153.383199;3185.251011;2957.431318;2678.06796;2575.617984;3339.913771;3347.961768;3365.999406;2438.760341;3662.73559;3036.01054;4035.066294;4372.753823;5824.309058;4845.690869;5272.579634;5249.560744;2544.078615;2864.988656;3345.951584;5088.15723;3899.394825;4462.609102;3528.002268;3443.070722;2554.635003;2052.249498;1712.719475;1982.208869;1972;7785.838426;2670.520549;6264;4255.793228;820.2438662;1804.536506;3297.339534;2717.966887;2284.93501;259.3838854;984.2926394;1037.535542;3082.196619;2216.176888;1182.972527;2479.796766;1834.121043;2157.724728;3945.705514;5917.137146;6059.820459;3713.812058;5486.444386;5626.896836;5577.65829;5759.256897;5773.258352;1577.770579;2167.058836;6019.718266;6598.758671;6311.082316;5920.547272;4858.170849;7003.364906;12965.56239;7281.252639;2345.954816;10489.50485;10000.2496;4512.086879;5729.977312;1296.919427;991.1044345;11620.86124;820.2438662;4565.451128;4004.940948;8304.336217;7796.201126;4066.623169;1160;2228.287235;1508;3299.379336;5337.260721;6897.855899;1724.463975;3208.401471;4343.421693;6105.171578;3668.242086;4565.451128;4989.348655;8380.949827
9;1396.824971;1944.514335;812;624.6791176;2460.731599;518.7677708;1100.472626;676.3904198;0;1194.293096;164.0487732;1672.975792;1485.524823;1874.037353;778.1516562;1624;991.1044345;1396.824971;696;905.9889624;956.5605051;733.6484172;478.2802526;418.243948;4020.031841;3044.861902;2380.121005;4605.068512;4441.452015;2388.586193;2132.634052;4710.514197;4265.268104;3016;2552;2345.954816;2216.176888;3283.025434;3216.778513;3051.483574;2200.945251;3489.653278;2824.784594;3548.917581;3856.018672;5173.391924;4184.047801;4640;4596.294159;1902.541458;2284.93501;2670.520549;4441.452015;3321.734487;3787.36003;2872.02507;2853.222739;2025.852907;1972;1485.524823;1648.669767;1724.463975;8461.641448;2138.934314;5694.643097;3601.60853;1352.78084;2466.193829;3967.810479;3364;2864.988656;844.4927472;1648.669767;1712.719475;3748.074706;2843.774956;1743.86238;3018.229945;2200.945251;2498.716471;4529.944812;6500.141537;6616.068923;4298.265697;5979.347122;6126.07411;6096.349071;6290.794544;5397.429018;1233.096914;1770.663153;5669.778126;6175.297888;5694.643097;5626.896836;5475.396607;6984.124856;13015.28271;6899.806374;1740;11007.7827;10561.73471;4026.72075;5760.424984;812;624.6791176;11059.61301;656.1950929;5152.541897;4477.660103;7663.90501;7136.593025;3528.002268;591.4862636;1560.620389;1233.096914;3835.023859;4693.343371;7562.27479;1069.467157;2575.617984;4432.353776;5946.626607;2993.609193;4247.881354;5572.831237;8004.840536
10;1233.096914;1357.74519;624.6791176;1660.867243;1352.78084;1281.261878;836.4878959;1870.443798;1194.293096;0;1037.535542;2132.634052;591.4862636;2091.21974;1396.824971;1476.438959;1985.600161;2533.478241;1834.121043;1740;2002.470474;1774.458791;1577.770579;1434.840758;4518.047366;3481.932797;2909.265199;4989.348655;4981.251248;2670.520549;2715.490379;5291.685554;4734.732939;3116.926691;2231.304551;2228.287235;2065.321283;3550.812865;3364;2864.988656;2302.534256;3535.622152;2872.02507;2920.805368;3132;4060;3044.861902;3582.879289;3480;935.2218988;1512.454958;1485.524823;3345.951584;2460.731599;2593.838854;1770.663153;1985.600161;1396.824971;2322.89819;1743.86238;1640.487732;1859.621467;9655.91135;1476.438959;4731.890109;2460.731599;2460.731599;3642.473885;5151.235968;4518.047366;3950.817637;2025.852907;2831.920903;2906.951668;4935.114994;3999.897999;2869.681515;4086.428269;3134.147412;3381.952099;5626.896836;7583.597036;7663.90501;5397.429018;6902.731054;7056.957985;7056.004535;7267.37917;4856.785768;1396.824971;1577.770579;5173.391924;5587.299885;4668.909937;5322.112363;6580.380536;7147.897033;13226.54362;6311.082316;905.9889624;11983.98465;11602.31977;3371.99051;5964.701501;1069.467157;1276;10128.6003;1512.454958;6217.643283;5396.182354;6567.075453;5992.834388;2698.091177;928;478.2802526;1525.741787;4884.412759;3603.4761;8733.190024;418.243948;1577.770579;4858.170849;5889.785056;1811.977925;3876.899792;6661.673063;7481.77519
